dish-name	dish-classification	dish-ingredients	dish-combination	dish-price
STRING	SYMBOL	INSTANCE	SYMBOL	FLOAT
Roast_pork_with_prunes	[Italian Meat Hot Classical Gluten-free Lactose-free]	[[oil] [garlic] [salt] [black_pepper] [pork] [red_wine] [prunes]]	[Italian French Spanish Lactose-free Gluten-free]	7.50
Coq_au_vin	[French Islamic Classical Hot Meat Kosher Gourmet]	[[red_wine] [onion] [oil] [mushroom] [bacon] [butter] [chicken] [salt] [black_pepper] [wheat_flour] [carrots]]	[French Italian Spanish Mediterranean Kosher Islamic]	8.30
Spanish_omelette	[Spanish Vegetarian Gluten-free Islamic Kosher Classical Hoy]	[[potato] [onion] [eggs] [black_pepper] [salt] [oil]]	[Spanish Vegetarian Gluten-free Islamic Kosher Mediterranean]	6.00
Paella	[Spanish Mediterranean Fish Hot Classical]	[[rice] [onion] [tomato] [garlic] [oil] [salt] [saffron] [cuttlefish] [mussel] [clam] [prawn]]	[Spanish Mediterranean Lactose-free]	9.00
Pan_seared_salmon	[Moroccan Hot Fish Classical Mediterranean Lactose-free Gluten-free Islamic Kosher]	[[salmon] [onion] [garlic] [oil] [cumin] [paprika] [cilantro] [lemon_juice] [chili_pepper] [salt]]	[Moroccan Mediterranean Lactose-free Gluten-free]	7.20
Cabbage_roll	[Japanese Vegetarian Meat Hot Classical Lactose-free]	[[cabbage] [onion] [beef] [pork] [salt] [black_pepper] [tomato_paste] [chicken_broth] [bread_crumbs]]	[Japanese Lactose-free Mediterranean]	6.50
Burrito_pie	[Mexican Modern Meat Hot Kosher Islamic]	[[beef] [onion] [garlic] [olive] [chili_pepper] [tomato] [tortilla] [cheese] [taco_sauce]]	[Mexican]	5.50
Chicken_wings_with_chili-lime_butter	[American Meat Hot Mexican Kosher Islamic Classical]	[[chicken] [oil] [black_pepper] [butter] [red_curry_paste] [honey] [soy_sauce] [lime]]	[American Mexican Indian]	6.40
Palak_panner	[Indian Vegetarian Vegetables Hot Islamic Kosher Modern Gourmet]	[[oil] [garlic] [ginger] [onion] [cumin] [coriander] [turmeric] [sour_cream] [spinach] [tomato] [cilantro] [ricotta_cheese] [salt]]	[Indian Vegetarian Islamic Kosher]	7.50
Couscous_meatlof	[Modern Turkey Hot Meat Modern Moroccan]	[[onion] [salt] [bacon] [tomato_paste] [brown_sugar] [black_pepper] [eggs] [couscous] [zucchini] [ground_turkey] [dijon_mustard]]	[Turkey Moroccan]	5.70
Sweet_and_sour_aubergines	[Vegan Vegetarian Mediterranean Lactose-free Modern Hot]	[[brown_sugar] [aubergine] [salt] [gram_flour] [cumin] [coriander] [ginger] [garlic] [vegetable_oil] [lemon] [paprika]]	[Vegan Vegetarian Mediterranean Lactose-free]	4.50
Dumplings_filled_with_brocolli_and_zucchini_in_garlic_sauce	[[Chinese Vegan Vegetarian Hot Classical Lactose-free Gluten-free Vegetables Kosher Islamic]	[[wheat_flour] [salt] [oil] [corn_starch] [broccoli] [zucchini] [garlic] [sugar] [sesame_oil] [hoisin_sauce]]	[Vegan Vegetarian Lactose-free Gluten-free Chinese Japanese Indian]	5.00
Tuna_steak	[Mediterranean Gluten-free Lactose-free Fish Kosher Islamic Italian Spanish]	[[tuna] [tomato] [garlic] [vegetable_oil] [onion] [black_pepper]]	[Spanish Italian Mediterranean Japanese American]	8.70
Persian_pie	[Turkish Mediterranean Vegetarian Kosher Islamic Indian Gluten-free Lactose-free Vegetables]	[[aubergine] [cheese] [cabbage] [onion] [garlic] [wheat_flour]]	[Spanish Italian Mediterranean Turkish Moroccan]	14.90
